index,LU0340554673,LU0474966677,LU0625737753
2022-01-04,531.61,181.92,139.48
2022-01-05,523.83,182.79,135.65
2022-01-06,513.12,178.68,137.29
2022-01-07,520.09,178.68,138.87
2022-01-11,515.84,177.91,141.34
2022-01-12,524.99,180.32,144.3
2022-01-13,518.37,178.94,142.16
2022-01-14,510.54,177.4,141.92
2022-01-18,507.54,177.53,141.39
2022-01-19,510.42,173.15,141.01
2022-01-20,517.09,175.25,146.1
2022-01-21,498.42,174.68,145.06
2022-01-24,482.27,175.27,142.87
2022-01-25,483.65,172.26,140.62
2022-01-26,492.28,171.74,140.24
2022-01-27,490.18,167.24,137.34
2022-01-28,478.31,170.53,135.95
2022-01-31,500.54,171.76,138.86
2022-02-07,491.9,171.04,138.37
2022-02-08,486.88,171.19,137.38
2022-02-09,497.25,172.3,140.94
2022-02-10,503.1,172.71,141.57
2022-02-14,489.04,172.45,139.83
2022-02-15,495.17,169.53,139.71
2022-02-16,490.79,171.93,141.41
2022-02-17,489.3,171.61,141.8
2022-02-18,480.41,171.0,139.6
2022-02-22,470.02,167.58,134.87
2022-02-24,454.59,168.28,134.0
2022-02-25,465.35,169.18,132.64
2022-02-28,471.87,168.88,133.1
2022-03-01,476.53,171.53,135.11
2022-03-02,473.21,168.82,134.22
2022-03-03,475.77,170.29,132.99
2022-03-04,466.39,168.72,130.65
2022-03-07,455.57,166.86,126.15
2022-03-08,440.04,162.2,123.55
2022-03-09,449.11,160.75,121.8
2022-03-10,446.37,166.03,121.92
2022-03-11,441.05,162.58,118.19
2022-03-14,433.88,162.28,109.02
2022-03-15,430.08,162.9,102.4
2022-03-16,453.94,165.26,117.08
2022-03-17,453.16,168.39,122.79
2022-03-18,469.2,168.89,123.2
2022-03-22,479.88,169.37,126.44
2022-03-23,479.32,173.4,128.26
2022-03-24,471.24,173.03,126.31
2022-03-25,473.26,172.4,122.3
2022-03-28,479.74,168.73,124.03
2022-03-29,483.82,170.35,124.28
2022-03-30,481.3,170.88,125.4
2022-03-31,475.95,169.34,123.61
2022-04-01,480.13,169.2,125.75
2022-04-06,475.26,167.61,127.68
2022-04-07,474.53,165.47,125.23
2022-04-08,470.78,165.66,125.53
2022-04-11,465.47,162.55,120.77
2022-04-12,471.04,160.65,122.46
2022-04-13,465.69,162.96,123.57
2022-04-14,469.14,164.2,125.07
2022-04-19,459.31,161.1,121.82
2022-04-20,452.71,162.31,119.01
2022-04-21,448.42,162.59,115.9
2022-04-22,438.27,161.78,116.54
2022-04-25,430.27,160.66,112.43
2022-04-26,432.04,161.88,113.62
2022-04-27,438.58,161.33,116.64
2022-04-28,437.13,162.57,118.64
2022-05-06,410.69,163.41,116.04
2022-05-10,404.63,159.43,113.79
2022-05-11,406.83,158.62,115.04
2022-05-12,398.29,160.09,113.99
2022-05-13,416.55,163.84,117.66
2022-05-16,414.7,162.72,117.63
2022-05-17,417.77,162.12,120.63
2022-05-18,414.32,163.31,120.64
2022-05-19,407.25,163.14,117.34
2022-05-20,414.77,162.67,121.24
2022-05-23,405.9,163.61,118.62
2022-05-24,393.68,162.01,114.62
2022-05-25,398.42,162.91,115.56
2022-05-27,416.7,163.09,118.83
2022-05-31,421.04,164.29,124.43
2022-06-01,427.59,164.43,123.98
2022-06-02,422.32,163.43,123.07
2022-06-07,428.18,161.76,127.21
2022-06-08,437.47,161.89,131.27
2022-06-09,435.12,162.1,130.69
2022-06-10,423.13,161.28,132.62
2022-06-13,404.6,158.62,128.64
